170	2045	1
263	2027	1
274	2030	1
422	2057	1
447	2053	1
504	2016	1
470	2029	1
562	1970	1
663	1950	1
6011	792	1
6068	812	1
6198	385	1
5631	512	1
5622	745	1
5762	1043	1
6067	1174	1
6050	1371	1
5708	1667	1
5721	1668	1
5732	1670	1
5508	1979	1
5780	2153	1
4913	1929	1
6130	2193	1
6192	2138	1
4330	960	1
4502	933	1
4712	952	1
4752	989	1
4795	959	1
4802	899	1
4856	899	1
4810	1348	1
4993	1275	1
4374	2041	1
5364	1546	1
5306	1860	1
3767	730	1
3898	778	1
2597	692	1
2631	1656	1
2447	1249	1
2602	815	1
1670	1302	1
1807	1388	1
1855	1033	1
1886	1159	1
905	1205	1
1003	1477	1
995	1498	1
1006	1454	1
987	1448	1
1087	1557	1
1099	1545	1
648	1771	1
791	1764	1
916	1720	1
1801	1787	1
1887	1792	1
2161	1798	1
2099	1872	1
2563	1830	1
2700	1852	1
3560	1967	1
4595	974	1
4602	1304	1
4924	1272	1
4903	1009	1
903	1186	2
1112	1558	2
1767	1361	2
4865	964	2
993	1510	2
1818	1329	2
1889	1150	2
1894	977	2
4518	851	2
4681	926	2
4865	964	2
4984	974	2
4913	1012	2
4946	1312	2
4518	1354	2
5242	1484	2
5741	1668	2
5847	1080	2
6068	1198	2
5703	1174	2
6051	1461	2
6089	1619	2
134	1672	2
3533	1978	2
3828	1936	2
4152	2024	2
5534	1991	2
5664	2067	2
2009	1625	3
4714	1639	3
624	3738	3
1024	4993	3
1965	5089	3
4963	5380	3
4973	5638	3
5133	5695	3
3729	464	4
5374	833	4
3610	908	4
3600	1043	4
1620	1469	4
2374	603	4
4043	1347	4
3504	314	4
